Hospital ID,Hospital Name,Location,XOffset,YOffset,Category,Number of Beds,Number of Waitlist,Max Competence Charge,Number of Staffs,Staff Scores 1,Staff Scores 2,Staff Scores 3,Staff Scores 4,Staff Scores 5,Staff Scores 6,Staff Scores 7,Staff Scores 8,Staff Scores 9,Staff Scores 10,Staff Scores 11,Staff Scores 12,Staff Scores 13,Staff Scores 14,Staff Scores 15,Staff Scores 16,Staff Scores 17,Staff Scores 18,Staff Scores 19,Staff Scores 20,Number of Tests,Extra Medical Cost 1,Extra Medical Cost 2,Extra Medical Cost 3,Extra Medical Cost 4,Extra Medical Cost 5,Extra Medical Cost 6,Extra Medical Cost 7,Extra Medical Cost 8,Extra Medical Cost 9,Extra Medical Cost 10,Extra Medical Cost 11,Extra Medical Cost 12,Extra Medical Cost 13,Extra Medical Cost 14,Mortality Measure 1,Mortality Measure 2,Mortality Measure 3,Mortality Measure 4,Mortality Measure 5,Mortality Measure 6,Safety of Care Measure 1,Safety of Care Measure 2,Safety of Care Measure 3,Safety of Care Measure 4,Safety of Care Measure 5,Readmission Measure 1,Readmission Measure 2,Readmission Measure 3,Readmission Measure 4,Readmission Measure 5,Readmission Measure 6,Patient Experience Measure 1,Patient Experience Measure 2,Patient Experience Measure 3,Patient Experience Measure 4,Patient Experience Measure 5,Patient Experience Measure 6,Timely and Effective Care Measure 1,Timely and Effective Care Measure 2,Timely and Effective Care Measure 3,Timely and Effective Care Measure 4,Timely and Effective Care Measure 5,Timely and Effective Care Measure 6,Timely and Effective Care Measure 7
0,S N MEDICAL COLLEGE,Agra,8.6907,-8.9821,0,200,14,57000,15,75,71,49,85,40,42,77,18,43,28,6,77,26,60,6,51,91,41,39,54,15,5710,1470,1660,430,5990,1440,2800,6190,4670,1570,4370,2810,5470,4280,79,238,1000000000.0,197,161,107,0.0826,0.0963,0.0903,0.0953,0.085,49.504,1000000000.0,39.7152,16.8502,46.0526,38.9943,0,1,5,1000000000.0,8,1000000000.0,19.85,1000000000.0,64.61,66.99,53.56,1000000000.0,16.35
1,DISTRICT WOMAN HOSPITAL,Agra,9.0934,-0.4936,0,200,16,26000,15,81,36,12,96,11,25,65,60,44,75,3,18,15,69,92,33,5,43,57,23,15,2750,210,2730,4350,3240,2300,4530,1410,3310,2470,350,5560,4040,3670,292,205,182,1000000000.0,1000000000.0,66,0.0639,0.0513,0.098,0.0807,0.065,33.8778,31.9084,44.2325,21.4862,27.208,46.2849,0,2,7,3,4,1000000000.0,64.94,33.54,82.1,11.44,10.89,96.56,32.27
2,GUPTA NURSING HOME,Agra,4.5208,-3.5741,0,150,18,37000,15,56,63,71,40,57,86,57,26,45,67,20,81,54,62,27,67,86,9,73,82,15,2560,5680,710,5320,1400,4800,4740,2620,2130,1850,1040,4260,4020,840,1000000000.0,230,61,269,160,270,0.0587,0.0592,0.0786,0.0796,0.0741,45.9003,45.5815,44.0408,14.3203,21.4314,31.805,0,6,3,7,1000000000.0,7,19.83,45.04,62.87,29.65,17.24,60.79,48.96
3,AJAY GOVT HOSPITAL,Agra,-5.941,-3.8568,0,100,14,17000,15,2,71,83,76,36,7,53,87,83,31,26,79,30,10,47,45,85,39,56,97,15,4560,3820,1910,960,4790,5920,5390,4070,4360,3560,3080,2590,6960,1560,214,1000000000.0,86,274,108,233,0.096,0.0905,0.0851,0.0778,0.0659,40.9343,28.0522,45.5055,22.2009,1000000000.0,9.3667,3,10,7,1000000000.0,1000000000.0,0,52.42,49.16,78.53,99.92,30.98,49.17,21.03
4,DINISH MEDICAL COLLEGE,Agra,-0.0619,-5.8219,0,100,16,16000,15,90,82,30,10,19,8,12,85,47,61,30,16,50,49,81,84,1,21,39,71,15,2110,6630,2300,4440,4500,4870,1960,4340,190,3420,6040,3590,1260,4830,61,265,228,1000000000.0,152,252,0.0713,0.0596,0.0848,0.0639,0.0896,49.8382,0.335,38.7101,49.6719,20.6715,1000000000.0,6,1000000000.0,1,6,1000000000.0,3,1000000000.0,33.31,1000000000.0,73.66,1000000000.0,1000000000.0,46.32
5,AJAY PVT CLINIC,Agra,9.4643,5.3407,0,250,15,46000,15,39,90,64,28,94,86,5,69,38,79,1,7,49,95,56,41,90,16,83,34,15,890,1290,5140,370,5740,4990,5110,5860,3880,3490,1470,2320,1710,2460,263,277,238,72,81,1000000000.0,0.0792,0.092,0.0913,0.0593,0.0513,2.876,1000000000.0,33.7243,20.2946,5.0207,1000000000.0,10,8,1000000000.0,2,1000000000.0,3,51.94,84.58,1000000000.0,33.65,58.12,44.66,1000000000.0
6,ARJUN HOSPITAL,Agra,1.1112,-6.3131,0,200,19,36000,15,4,92,12,95,80,24,67,96,1,82,33,71,56,8,30,80,12,61,54,65,15,2620,3070,4150,3600,750,580,5400,6570,740,6550,2230,4930,4520,6530,210,193,234,126,189,1000000000.0,0.0792,0.0553,0.0916,0.0659,0.0534,34.3762,40.4825,1000000000.0,3.2081,40.9847,33.3012,1000000000.0,0,7,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,10.27,36.73,96.14,25.89,1000000000.0
7,AGGA HAHHAH,Agra,9.9532,-6.0753,0,300,29,42000,15,13,6,66,19,69,57,22,31,94,54,74,98,2,82,100,7,11,47,41,82,15,6830,6590,750,4410,2020,5940,2250,6290,1870,2760,3310,580,150,140,167,282,1000000000.0,108,52,173,0.0792,0.0792,0.0514,0.0799,0.0962,10.2961,1000000000.0,21.3943,1000000000.0,48.2651,24.4095,9,4,3,8,8,8,46.63,1000000000.0,40.79,93.69,22.91,33.47,35.92
8,DSD NURSING HOME,Agra,2.5113,-0.1552,0,200,12,26000,15,70,83,8,77,97,94,79,24,77,13,70,7,30,60,41,59,39,46,22,37,15,4470,4560,1210,6200,4720,400,1380,500,5780,2100,6450,4880,620,1220,1000000000.0,63,245,110,1000000000.0,1000000000.0,0.083,0.0888,0.0729,0.0932,0.0539,36.1676,1000000000.0,1000000000.0,5.2663,1000000000.0,22.4464,4,1000000000.0,1000000000.0,10,6,9,59.31,97.68,1000000000.0,2.43,2.79,83.65,33.12
9,PRABHA TRAUMA CRITI CARE CENTRE,Agra,6.7779,-5.4096,1,100,19,39000,15,75,38,1,98,50,3,54,54,17,30,86,13,25,62,80,51,22,43,67,17,15,3390,1730,1610,5690,300,5550,6910,2240,1810,4840,4150,5680,1420,3500,114,107,48,112,1000000000.0,141,0.0744,0.0503,0.0662,0.0743,0.0963,9.6494,17.9074,25.5818,1000000000.0,14.7599,8.9035,1,4,4,7,5,3,1000000000.0,43.98,1000000000.0,1000000000.0,14.07,1000000000.0,35.86
